DATE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2020-01-04,0.0,0.0,71.29,72.34,70.7,72.55,70.4,72.7
2020-01-06,71.65,72.5,71.59,72.65,71.0,72.85,70.7,73.0
2020-01-07,71.32,72.17,71.26,72.31,70.7,72.55,70.4,72.7
2020-01-08,71.6,72.45,71.54,72.59,70.9,72.8,70.6,72.9
2020-01-10,70.55,71.4,70.49,71.54,69.9,71.75,69.6,71.9
2020-01-13,70.45,71.3,70.39,71.44,69.8,71.65,69.5,71.8
2020-01-15,70.6,71.45,70.54,71.59,69.9,71.8,69.6,71.9
2020-01-17,70.58,71.43,70.52,71.57,69.9,71.8,69.6,71.9
2020-01-18,0.0,0.0,70.54,71.59,69.9,71.8,69.6,71.9
2020-01-20,70.68,71.53,70.62,71.67,70.0,71.9,69.7,72.0
2020-01-21,70.77,71.62,70.71,71.76,70.1,72.0,69.8,72.1
2020-01-22,70.76,71.61,70.7,71.75,70.1,71.95,69.8,72.1
2020-01-23,70.82,71.67,70.76,71.81,70.2,72.05,69.9,72.2
2020-01-24,70.92,71.77,70.86,71.91,70.3,72.15,70.0,72.3
2020-01-27,71.05,71.9,70.99,72.04,70.4,72.25,70.1,72.4
2020-01-28,70.99,71.84,70.93,71.98,70.3,72.2,70.0,72.3
2020-01-29,70.83,71.68,70.77,71.82,70.2,72.05,69.9,72.2
2020-01-30,71.0,71.85,70.94,71.99,70.3,72.2,70.0,72.3
2020-01-31,71.06,71.91,71.0,72.05,70.4,72.25,70.1,72.4
2020-02-01,0.0,0.0,70.99,72.04,70.4,72.25,70.1,72.4
2020-02-03,71.2,72.05,71.14,72.19,70.5,72.4,70.2,72.5
2020-02-04,70.85,71.7,70.79,71.84,70.2,72.05,69.9,72.2
2020-02-05,70.82,71.67,70.76,71.81,70.2,72.05,69.9,72.2
2020-02-06,70.85,71.7,70.79,71.84,70.2,72.05,69.9,72.2
2020-02-07,70.87,71.72,70.81,71.86,70.2,72.1,69.9,72.2
2020-02-10,71.0,71.85,70.94,71.99,70.3,72.2,69.95,72.4
2020-02-11,70.85,71.7,70.79,71.84,70.2,72.05,69.9,72.2
2020-02-12,70.82,71.67,70.76,71.81,70.2,72.05,69.9,72.2
2020-02-13,70.99,71.84,70.93,71.98,70.3,72.2,70.0,72.3
2020-02-14,70.9,71.75,70.84,71.89,70.2,72.1,69.9,72.2
2020-02-15,0.0,0.0,70.99,72.04,70.4,72.25,70.1,72.4
2020-02-18,71.0,71.85,70.94,71.99,70.3,72.2,70.0,72.3
2020-02-20,71.35,72.2,71.29,72.34,70.7,72.55,70.4,72.7
2020-02-21,71.3,72.15,71.24,72.29,70.6,72.5,70.3,72.6
2020-02-24,71.5,72.35,71.44,72.49,70.8,72.7,70.5,72.8
2020-02-25,71.44,72.29,71.38,72.43,70.8,72.65,70.5,72.8
2020-02-26,71.3,72.15,71.24,72.29,70.6,72.5,70.3,72.6
2020-02-27,71.22,72.07,71.16,72.21,70.6,72.45,70.3,72.6
2020-02-28,71.7,72.55,71.64,72.7,71.0,72.9,70.7,73.0
2020-03-03,72.45,73.3,72.39,73.45,71.8,73.65,71.5,73.8
2020-03-04,72.9,73.75,72.84,73.9,72.2,74.1,71.9,74.2
2020-03-05,72.95,73.8,72.89,73.95,72.3,74.15,72.0,74.3
2020-03-06,73.5,74.35,73.44,74.5,72.8,74.7,72.5,74.8
2020-03-12,73.78,74.63,73.72,74.78,73.1,75.0,72.8,75.1
2020-03-13,73.7,74.55,73.64,74.7,73.0,74.9,72.7,75.0
2020-03-16,73.7,74.55,73.64,74.7,73.0,74.9,72.7,75.0
2020-03-17,73.76,74.61,73.7,74.76,73.1,75.0,72.8,75.1
2020-03-18,73.85,74.7,73.79,74.85,73.2,75.05,72.9,75.2
2020-03-19,74.6,75.45,74.54,75.61,73.9,75.85,73.6,76.0
2020-03-20,74.42,75.27,74.36,75.43,73.7,75.65,73.4,75.8
2020-03-21,0.0,0.0,74.79,75.86,74.2,76.1,73.9,76.2
2020-03-23,75.65,76.5,75.59,76.66,74.9,76.9,74.6,77.0
2020-03-24,75.6,76.46,75.54,76.61,74.9,76.85,74.6,76.9
2020-03-26,75.05,75.9,74.99,76.06,74.3,76.3,74.0,76.4
2020-03-27,74.0,74.85,73.94,75.0,73.3,75.2,73.0,75.3
2020-03-30,75.05,75.9,74.99,76.06,74.3,76.3,74.0,76.4
2020-03-31,75.05,75.9,74.99,76.06,74.3,76.3,74.0,76.4
2020-04-04,0.0,0.0,75.79,76.86,75.1,77.1,74.8,77.2
2020-04-13,75.9,76.75,75.84,76.91,75.2,77.15,74.9,77.2
2020-04-20,76.0,76.85,75.94,77.0,75.3,77.25,75.0,77.3
2020-04-29,75.3,76.15,75.24,76.31,74.6,76.55,74.3,76.7
2020-04-30,74.7,75.55,74.64,75.71,74.0,75.95,73.7,76.1
2020-05-12,75.25,76.1,75.19,76.26,74.5,76.5,74.2,76.6
2020-05-30,0.0,0.0,75.14,76.21,74.5,76.45,74.2,76.6
2020-06-02,74.75,75.6,74.69,75.76,74.1,76.0,73.8,76.1
2020-06-03,74.7,75.55,74.64,75.71,74.0,75.95,73.7,76.1
2020-06-04,75.15,76.0,75.09,76.15,74.4,76.4,74.1,76.5
2020-06-05,75.0,75.85,74.94,76.0,74.3,76.25,74.0,76.4
2020-06-06,0.0,0.0,75.12,76.18,74.5,76.4,74.2,76.5
2020-06-08,75.24,76.09,75.18,76.25,74.5,76.5,74.2,76.6
2020-06-09,75.1,75.95,75.04,76.11,74.4,76.35,74.1,76.5
2020-06-10,75.1,75.95,75.04,76.11,74.4,76.35,74.1,76.5
